    [junit] after addscratch: reg.size=256 hash.length=1024
    [junit] 0.062500 0.000000i|2621440> (0.003906) (|10 1000 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2637824> (0.003906) (|10 1000 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2654208> (0.003906) (|10 1000 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2670592> (0.003906) (|10 1000 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2686976> (0.003906) (|10 1001 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2703360> (0.003906) (|10 1001 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2719744> (0.003906) (|10 1001 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2736128> (0.003906) (|10 1001 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2752512> (0.003906) (|10 1010 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2768896> (0.003906) (|10 1010 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2785280> (0.003906) (|10 1010 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2801664> (0.003906) (|10 1010 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2818048> (0.003906) (|10 1011 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2834432> (0.003906) (|10 1011 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2850816> (0.003906) (|10 1011 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2867200> (0.003906) (|10 1011 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2883584> (0.003906) (|10 1100 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2899968> (0.003906) (|10 1100 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2916352> (0.003906) (|10 1100 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2932736> (0.003906) (|10 1100 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2949120> (0.003906) (|10 1101 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2965504> (0.003906) (|10 1101 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2981888> (0.003906) (|10 1101 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2998272> (0.003906) (|10 1101 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3014656> (0.003906) (|10 1110 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3031040> (0.003906) (|10 1110 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3047424> (0.003906) (|10 1110 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3063808> (0.003906) (|10 1110 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3080192> (0.003906) (|10 1111 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3096576> (0.003906) (|10 1111 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3112960> (0.003906) (|10 1111 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3129344> (0.003906) (|10 1111 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3145728> (0.003906) (|11 0000 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3162112> (0.003906) (|11 0000 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3178496> (0.003906) (|11 0000 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3194880> (0.003906) (|11 0000 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3211264> (0.003906) (|11 0001 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3227648> (0.003906) (|11 0001 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3244032> (0.003906) (|11 0001 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3260416> (0.003906) (|11 0001 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3276800> (0.003906) (|11 0010 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3293184> (0.003906) (|11 0010 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3309568> (0.003906) (|11 0010 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3325952> (0.003906) (|11 0010 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3342336> (0.003906) (|11 0011 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3358720> (0.003906) (|11 0011 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3375104> (0.003906) (|11 0011 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3391488> (0.003906) (|11 0011 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3407872> (0.003906) (|11 0100 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3424256> (0.003906) (|11 0100 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3440640> (0.003906) (|11 0100 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3457024> (0.003906) (|11 0100 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3473408> (0.003906) (|11 0101 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3489792> (0.003906) (|11 0101 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3506176> (0.003906) (|11 0101 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3522560> (0.003906) (|11 0101 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3538944> (0.003906) (|11 0110 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3555328> (0.003906) (|11 0110 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3571712> (0.003906) (|11 0110 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3588096> (0.003906) (|11 0110 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3604480> (0.003906) (|11 0111 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3620864> (0.003906) (|11 0111 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3637248> (0.003906) (|11 0111 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3653632> (0.003906) (|11 0111 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3670016> (0.003906) (|11 1000 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3686400> (0.003906) (|11 1000 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3702784> (0.003906) (|11 1000 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3719168> (0.003906) (|11 1000 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3735552> (0.003906) (|11 1001 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3751936> (0.003906) (|11 1001 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3768320> (0.003906) (|11 1001 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3784704> (0.003906) (|11 1001 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3801088> (0.003906) (|11 1010 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3817472> (0.003906) (|11 1010 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3833856> (0.003906) (|11 1010 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3850240> (0.003906) (|11 1010 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3866624> (0.003906) (|11 1011 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3883008> (0.003906) (|11 1011 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3899392> (0.003906) (|11 1011 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3915776> (0.003906) (|11 1011 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3932160> (0.003906) (|11 1100 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3948544> (0.003906) (|11 1100 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3964928> (0.003906) (|11 1100 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3981312> (0.003906) (|11 1100 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3997696> (0.003906) (|11 1101 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4014080> (0.003906) (|11 1101 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4030464> (0.003906) (|11 1101 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4046848> (0.003906) (|11 1101 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4063232> (0.003906) (|11 1110 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4079616> (0.003906) (|11 1110 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4096000> (0.003906) (|11 1110 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4112384> (0.003906) (|11 1110 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4128768> (0.003906) (|11 1111 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4145152> (0.003906) (|11 1111 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4161536> (0.003906) (|11 1111 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4177920> (0.003906) (|11 1111 1100 0000 0000 0000>)
