    [junit] after exp_mod_n: reg.size=256 hash.length=1024
    [junit] 0.062500 0.000000i|2556928> (0.003906) (|10 0111 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2580480> (0.003906) (|10 0111 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2592768> (0.003906) (|10 0111 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2607104> (0.003906) (|10 0111 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2622464> (0.003906) (|10 1000 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2646016> (0.003906) (|10 1000 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2658304> (0.003906) (|10 1000 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2672640> (0.003906) (|10 1000 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2688000> (0.003906) (|10 1001 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2711552> (0.003906) (|10 1001 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2723840> (0.003906) (|10 1001 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2738176> (0.003906) (|10 1001 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2753536> (0.003906) (|10 1010 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2777088> (0.003906) (|10 1010 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2789376> (0.003906) (|10 1010 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2803712> (0.003906) (|10 1010 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2819072> (0.003906) (|10 1011 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2842624> (0.003906) (|10 1011 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2854912> (0.003906) (|10 1011 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2869248> (0.003906) (|10 1011 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2884608> (0.003906) (|10 1100 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2908160> (0.003906) (|10 1100 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2920448> (0.003906) (|10 1100 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2934784> (0.003906) (|10 1100 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2950144> (0.003906) (|10 1101 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2973696> (0.003906) (|10 1101 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2985984> (0.003906) (|10 1101 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3000320> (0.003906) (|10 1101 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3015680> (0.003906) (|10 1110 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3039232> (0.003906) (|10 1110 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3051520> (0.003906) (|10 1110 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3065856> (0.003906) (|10 1110 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3081216> (0.003906) (|10 1111 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3104768> (0.003906) (|10 1111 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3117056> (0.003906) (|10 1111 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3131392> (0.003906) (|10 1111 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3146752> (0.003906) (|11 0000 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3170304> (0.003906) (|11 0000 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3182592> (0.003906) (|11 0000 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3196928> (0.003906) (|11 0000 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3212288> (0.003906) (|11 0001 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3235840> (0.003906) (|11 0001 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3248128> (0.003906) (|11 0001 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3262464> (0.003906) (|11 0001 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3277824> (0.003906) (|11 0010 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3301376> (0.003906) (|11 0010 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3313664> (0.003906) (|11 0010 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3328000> (0.003906) (|11 0010 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3343360> (0.003906) (|11 0011 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3366912> (0.003906) (|11 0011 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3379200> (0.003906) (|11 0011 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3393536> (0.003906) (|11 0011 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3408896> (0.003906) (|11 0100 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3432448> (0.003906) (|11 0100 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3444736> (0.003906) (|11 0100 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3459072> (0.003906) (|11 0100 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3474432> (0.003906) (|11 0101 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3497984> (0.003906) (|11 0101 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3510272> (0.003906) (|11 0101 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3524608> (0.003906) (|11 0101 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3539968> (0.003906) (|11 0110 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3563520> (0.003906) (|11 0110 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3575808> (0.003906) (|11 0110 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3590144> (0.003906) (|11 0110 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3605504> (0.003906) (|11 0111 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3629056> (0.003906) (|11 0111 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3641344> (0.003906) (|11 0111 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3655680> (0.003906) (|11 0111 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3671040> (0.003906) (|11 1000 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3694592> (0.003906) (|11 1000 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3706880> (0.003906) (|11 1000 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3721216> (0.003906) (|11 1000 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3736576> (0.003906) (|11 1001 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3760128> (0.003906) (|11 1001 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3772416> (0.003906) (|11 1001 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3786752> (0.003906) (|11 1001 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3802112> (0.003906) (|11 1010 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3825664> (0.003906) (|11 1010 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3837952> (0.003906) (|11 1010 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3852288> (0.003906) (|11 1010 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3867648> (0.003906) (|11 1011 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3891200> (0.003906) (|11 1011 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3903488> (0.003906) (|11 1011 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3917824> (0.003906) (|11 1011 1100 1000 0000 0000>)
